CMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, incl, central, 2, 0, 0.3, 20, 1000, 0, 1, "((0.874921+(0.000885525*x))+(-6.68503e-07*(x*x)))+(7.17689/x)" 
0, incl, down, 2, 0, 0.3, 20, 1000, 0, 1, "((0.842791+(0.000809607*x))+(-5.88337e-07*(x*x)))+(7.10941/x)" 
0, incl, up, 2, 0, 0.3, 20, 1000, 0, 1, "((0.903676+(0.000971152*x))+(-7.56441e-07*(x*x)))+(7.50067/x)" 
0, incl, central, 2, 0.3, 0.6, 20, 1000, 0, 1, "((0.859206+(0.000613401*x))+(-4.20717e-07*(x*x)))+(6.4676/x)" 
0, incl, down, 2, 0.3, 0.6, 20, 1000, 0, 1, "((0.829917+(0.0005496*x))+(-3.52954e-07*(x*x)))+(6.39268/x)" 
0, incl, up, 2, 0.3, 0.6, 20, 1000, 0, 1, "((0.885499+(0.000685967*x))+(-4.95495e-07*(x*x)))+(6.77182/x)" 
0, incl, central, 2, 0.6, 0.9, 20, 1000, 0, 1, "((0.85091+(0.00044326*x))+(-2.39676e-07*(x*x)))+(6.44336/x)" 
0, incl, down, 2, 0.6, 0.9, 20, 1000, 0, 1, "((0.822458+(0.000390438*x))+(-1.82749e-07*(x*x)))+(6.37768/x)" 
0, incl, up, 2, 0.6, 0.9, 20, 1000, 0, 1, "((0.876324+(0.000505268*x))+(-3.04015e-07*(x*x)))+(6.73902/x)" 
0, incl, central, 2, 0.9, 1.2, 20, 1000, 0, 1, "((0.884116+(0.000452952*x))+(-2.89454e-07*(x*x)))+(5.58513/x)" 
0, incl, down, 2, 0.9, 1.2, 20, 1000, 0, 1, "((0.854151+(0.000410262*x))+(-2.40923e-07*(x*x)))+(5.57/x)" 
0, incl, up, 2, 0.9, 1.2, 20, 1000, 0, 1, "((0.911327+(0.000504077*x))+(-3.44914e-07*(x*x)))+(5.80246/x)" 
0, incl, central, 2, 1.2, 1.5, 20, 1000, 0, 1, "((1.05409+(0.000190909*x))+(-2.65215e-07*(x*x)))+(-1.33829/x)" 
0, incl, down, 2, 1.2, 1.5, 20, 1000, 0, 1, "((1.01354+(0.000167333*x))+(-2.16554e-07*(x*x)))+(-0.922633/x)" 
0, incl, up, 2, 1.2, 1.5, 20, 1000, 0, 1, "((1.09533+(0.000212092*x))+(-3.11972e-07*(x*x)))+(-1.80293/x)" 
0, incl, central, 2, 1.5, 1.8, 20, 1000, 0, 1, "((1.02708+(0.000193904*x))+(-3.316e-07*(x*x)))+(5.82174e-11*(x*(x*x)))" 
0, incl, down, 2, 1.5, 1.8, 20, 1000, 0, 1, "((1.00578+(1.62714e-05*x))+(1.17942e-07*(x*x)))+(-2.35896e-10*(x*(x*x)))" 
0, incl, up, 2, 1.5, 1.8, 20, 1000, 0, 1, "((1.04838+(0.000371425*x))+(-7.81332e-07*(x*x)))+(3.52593e-10*(x*(x*x)))" 
0, incl, central, 2, 1.8, 2.4, 20, 1000, 0, 1, "((0.9986+(0.000458216*x))+(-8.50529e-07*(x*x)))+(3.64084e-10*(x*(x*x)))" 
0, incl, down, 2, 1.8, 2.4, 20, 1000, 0, 1, "((0.978148+(0.000286299*x))+(-3.80785e-07*(x*x)))+(2.90521e-11*(x*(x*x)))" 
0, incl, up, 2, 1.8, 2.4, 20, 1000, 0, 1, "((1.01905+(0.0006298*x))+(-1.32015e-06*(x*x)))+(6.99514e-10*(x*(x*x)))" 
1, incl, central, 2, 0, 0.8, 20, 1000, 0, 1, "((1.10175+(-0.000724208*x))+(1.46283e-06*(x*x)))+(-8.31007e-10*(x*(x*x)))" 
1, incl, down, 2, 0, 0.8, 20, 1000, 0, 1, "((1.02873+(-0.000988431*x))+(2.01385e-06*(x*x)))+(-1.15193e-09*(x*(x*x)))" 
1, incl, up, 2, 0, 0.8, 20, 1000, 0, 1, "((1.17475+(-0.000458922*x))+(9.09541e-07*(x*x)))+(-5.09248e-10*(x*(x*x)))" 
1, incl, central, 2, 0.8, 1.6, 20, 1000, 0, 1, "((1.10358+(-0.000664145*x))+(1.05713e-06*(x*x)))+(-6.61479e-10*(x*(x*x)))" 
1, incl, down, 2, 0.8, 1.6, 20, 1000, 0, 1, "((1.034+(-0.000884165*x))+(1.571e-06*(x*x)))+(-9.71575e-10*(x*(x*x)))" 
1, incl, up, 2, 0.8, 1.6, 20, 1000, 0, 1, "((1.17314+(-0.000443333*x))+(5.41428e-07*(x*x)))+(-3.50681e-10*(x*(x*x)))" 
